Datum;temperature;
01.01.2012 00:00;10.3;01.01.2012 00:00
01.01.2012 01:00;10.5;01.01.2012 01:00
01.01.2012 02:00;10.6;01.01.2012 02:00
01.01.2012 03:00;10.9;01.01.2012 03:00
01.01.2012 04:00;10.9;01.01.2012 04:00
01.01.2012 05:00;10.9;01.01.2012 05:00
01.01.2012 06:00;11.2;01.01.2012 06:00
01.01.2012 07:00;11.7;01.01.2012 07:00
01.01.2012 08:00;11.9;01.01.2012 08:00
01.01.2012 09:00;11.7;01.01.2012 09:00
01.01.2012 10:00;11.8;01.01.2012 10:00
01.01.2012 11:00;12.1;01.01.2012 11:00
01.01.2012 12:00;12.4;01.01.2012 12:00
01.01.2012 13:00;12.4;01.01.2012 13:00
01.01.2012 14:00;12;01.01.2012 14:00
01.01.2012 15:00;12.3;01.01.2012 15:00
01.01.2012 16:00;12.5;01.01.2012 16:00
01.01.2012 17:00;12.9;01.01.2012 17:00
01.01.2012 18:00;13.1;01.01.2012 18:00
01.01.2012 19:00;13.6;01.01.2012 19:00
01.01.2012 20:00;13.4;01.01.2012 20:00
01.01.2012 21:00;14;01.01.2012 21:00
01.01.2012 22:00;14.2;01.01.2012 22:00
01.01.2012 23:00;14.2;01.01.2012 23:00
02.01.2012 00:00;12.1;02.01.2012 00:00
02.01.2012 01:00;10.2;02.01.2012 01:00
02.01.2012 02:00;9.9;02.01.2012 02:00
02.01.2012 03:00;9.8;02.01.2012 03:00
02.01.2012 04:00;9.6;02.01.2012 04:00
02.01.2012 05:00;9.4;02.01.2012 05:00
02.01.2012 06:00;8.1;02.01.2012 06:00
02.01.2012 07:00;7.3;02.01.2012 07:00
02.01.2012 08:00;7.1;02.01.2012 08:00
02.01.2012 09:00;7.3;02.01.2012 09:00
02.01.2012 10:00;7.6;02.01.2012 10:00
02.01.2012 11:00;7.9;02.01.2012 11:00
02.01.2012 12:00;8.3;02.01.2012 12:00
02.01.2012 13:00;8.3;02.01.2012 13:00
02.01.2012 14:00;8.4;02.01.2012 14:00
02.01.2012 15:00;7.7;02.01.2012 15:00
02.01.2012 16:00;7.1;02.01.2012 16:00
02.01.2012 17:00;7.4;02.01.2012 17:00
02.01.2012 18:00;6.6;02.01.2012 18:00
02.01.2012 19:00;5.2;02.01.2012 19:00
02.01.2012 20:00;4.2;02.01.2012 20:00
02.01.2012 21:00;4;02.01.2012 21:00
02.01.2012 22:00;4;02.01.2012 22:00
02.01.2012 23:00;4.1;02.01.2012 23:00
03.01.2012 00:00;4.2;03.01.2012 00:00
03.01.2012 01:00;4.3;03.01.2012 01:00
03.01.2012 02:00;4.7;03.01.2012 02:00
03.01.2012 03:00;5.2;03.01.2012 03:00
03.01.2012 04:00;4.3;03.01.2012 04:00
03.01.2012 05:00;5.1;03.01.2012 05:00
03.01.2012 06:00;5.7;03.01.2012 06:00
03.01.2012 07:00;6.3;03.01.2012 07:00
03.01.2012 08:00;7;03.01.2012 08:00
03.01.2012 09:00;7.6;03.01.2012 09:00
03.01.2012 10:00;9;03.01.2012 10:00
03.01.2012 11:00;10;03.01.2012 11:00
03.01.2012 12:00;10.5;03.01.2012 12:00
03.01.2012 13:00;10.9;03.01.2012 13:00
03.01.2012 14:00;11.2;03.01.2012 14:00
03.01.2012 15:00;11.8;03.01.2012 15:00
03.01.2012 16:00;11.5;03.01.2012 16:00
03.01.2012 17:00;11.1;03.01.2012 17:00
03.01.2012 18:00;10.5;03.01.2012 18:00
03.01.2012 19:00;9.6;03.01.2012 19:00
03.01.2012 20:00;8.8;03.01.2012 20:00
03.01.2012 21:00;8.7;03.01.2012 21:00
03.01.2012 22:00;8.2;03.01.2012 22:00
03.01.2012 23:00;7.5;03.01.2012 23:00
04.01.2012 00:00;6.9;04.01.2012 00:00
04.01.2012 01:00;6.4;04.01.2012 01:00
04.01.2012 02:00;6.1;04.01.2012 02:00
04.01.2012 03:00;5.7;04.01.2012 03:00
