,dhi,dirhi,pressure,temp_air,v_wind,z0
01.01.2012 00:00,0,0,9,103,5,15
01.01.2012 01:00,0,0,9,104,5,15
01.01.2012 02:00,0,0,9,105,5,15
01.01.2012 03:00,0,0,9,109,5,15
01.01.2012 04:00,0,0,9,109,5,15
01.01.2012 05:00,0,0,983342,1088333333,528286,15
01.01.2012 06:00,0,0,983246,1121666667,543709,15
01.01.2012 07:00,0,0,983451,1168333333,549162,15
01.01.2012 08:00,1,0,983949,1186666667,552631,15
01.01.2012 09:00,17,0,984466,1165,557199,15
01.01.2012 10:00,36,0,984860,1181666667,538384,15
01.01.2012 11:00,50,0,985680,1205,531816,15
01.01.2012 12:00,46,0,986092,1235,592008,15
01.01.2012 13:00,31,0,987168,1236666667,550331,15
01.01.2012 14:00,9,0,988345,1201666667,516204,15
01.01.2012 15:00,0,0,989114,123,494334,15
01.01.2012 16:00,0,0,989990,1253333333,462725,15
01.01.2012 17:00,0,0,990830,1286666667,420744,15
01.01.2012 18:00,0,0,991666,131,396008,15
01.01.2012 19:00,0,0,992496,1358333333,418155,15
01.01.2012 20:00,0,0,992991,1341666667,438756,15
01.01.2012 21:00,0,0,993550,14,435175,15
01.01.2012 22:00,0,0,994146,1423333333,419387,15
01.01.2012 23:00,0,0,994896,142,395468,15
02.01.2012 00:00,0,0,995715,1206666667,380391,15
02.01.2012 01:00,0,0,996506,102,375341,15
02.01.2012 02:00,0,0,997258,9883333333,368452,15
02.01.2012 03:00,0,0,998084,9766666667,364885,15
02.01.2012 04:00,0,0,999023,96,364895,15
02.01.2012 05:00,0,0,999840,935,326095,15
02.01.2012 06:00,0,0,1000510,8116666667,282002,15
02.01.2012 07:00,0,0,1001270,7316666667,263831,15
02.01.2012 08:00,1,0,1002130,7066666667,260467,15
02.01.2012 09:00,24,0,1003010,7283333333,248291,15
02.01.2012 10:00,107,0,1003610,7616666667,227491,15
02.01.2012 11:00,156,3,1004110,7883333333,205207,15
02.01.2012 12:00,167,6,1004560,825,184496,15
02.01.2012 13:00,99,0,1005020,8283333333,171002,15
02.01.2012 14:00,61,1,1005440,8383333333,165912,15
02.01.2012 15:00,19,1,1005880,765,185037,15
02.01.2012 16:00,0,0,1006230,7066666667,205926,15
02.01.2012 17:00,0,0,1006590,7366666667,219697,15
02.01.2012 18:00,0,0,1006810,6633333333,236407,15
02.01.2012 19:00,0,0,1006800,52,268317,15
02.01.2012 20:00,0,0,1006650,4216666667,288922,15
02.01.2012 21:00,0,0,1006660,4,282869,15
02.01.2012 22:00,0,0,1006710,4,290343,15
02.01.2012 23:00,0,0,1006730,4066666667,300159,15
