# name: Herne/Germany
# longitude: 7.210
# latitude: 51.556
# timezone: Europe/Berlin
# data_height temp_air: 2
# data_height v_wind: 10

,dhi,dirhi,pressure,temp_air,v_wind,z0
01.01.2016 00:00,0,0,98405.7,285.05,5.32697,0.15
01.01.2016 01:00,0,0,98382.7,284.85,5.46199,0.15
01.01.2016 02:00,0,0,98362.9,284.95,5.67899,0.15
01.01.2016 03:00,0,0,98340.9,285.25,5.68466,0.15
01.01.2016 04:00,0,0,98336.8,285.55,5.38084,0.15
01.01.2016 05:00,0,0,98334.2,285.55,5.28286,0.15
01.01.2016 06:00,0,0,98324.6,274.35,5.43709,0.15
01.01.2016 07:00,0,0,98345.1,285.45,5.49162,0.15
01.01.2016 08:00,1,0,98394.9,285.65,5.52631,0.15
01.01.2016 09:00,17,0,98446.6,286.05,5.57199,0.15
01.01.2016 10:00,36,0,98486,286.25,5.38384,0.15
01.01.2016 11:00,50,0,98568,286.75,5.31816,0.15
01.01.2016 12:00,46,0,98609.2,286.55,5.92008,0.15
01.01.2016 13:00,31,0,98716.8,274.55,5.50331,0.15
01.01.2016 14:00,9,0,98834.5,287.35,5.16204,0.15
01.01.2016 15:00,0,0,98911.4,287.35,4.94334,0.15
01.01.2016 16:00,0,0,98999,285.25,4.62725,0.15
01.01.2016 17:00,0,0,99083,283.35,4.20744,0.15
01.01.2016 18:00,0,0,99166.6,283.05,3.96008,0.15
01.01.2016 19:00,0,0,99249.6,282.95,4.18155,0.15
01.01.2016 20:00,0,0,99299.1,282.75,4.38756,0.15
01.01.2016 21:00,0,0,99355,282.55,4.35175,0.15
01.01.2016 22:00,0,0,99414.6,281.25,4.19387,0.15
01.01.2016 23:00,0,0,99489.6,280.45,3.95468,0.15
01.02.2016 00:00,0,0,99571.5,280.25,3.80391,0.15
01.02.2016 01:00,0,0,99650.6,280.45,3.75341,0.15
01.02.2016 02:00,0,0,99725.8,280.75,3.68452,0.15
01.02.2016 03:00,0,0,99808.4,281.05,3.64885,0.15
01.02.2016 04:00,0,0,99902.3,281.45,3.64895,0.15
01.02.2016 05:00,0,0,99984,281.45,3.26095,0.15
01.02.2016 06:00,0,0,100051,281.55,2.82002,0.15
01.02.2016 07:00,0,0,100127,280.85,2.63831,0.15
01.02.2016 08:00,1,0,100213,280.25,2.60467,0.15
01.02.2016 09:00,24,0,100301,280.55,2.48291,0.15
01.02.2016 10:00,107,0,100361,279.75,2.27491,0.15
01.02.2016 11:00,156,3,100411,278.35,2.05207,0.15
01.02.2016 12:00,167,6,100456,277.35,1.84496,0.15
01.02.2016 13:00,99,0,100502,273.55,1.71002,0.15
01.02.2016 14:00,61,1,100544,273.55,1.65912,0.15
01.02.2016 15:00,19,1,100588,277.25,1.85037,0.15
01.02.2016 16:00,0,0,100623,277.35,2.05926,0.15
01.02.2016 17:00,0,0,100659,277.45,2.19697,0.15
01.02.2016 18:00,0,0,100681,277.85,2.36407,0.15
01.02.2016 19:00,0,0,100680,278.35,2.68317,0.15
01.02.2016 20:00,0,0,100665,277.45,2.88922,0.15
01.02.2016 21:00,0,0,100666,278.25,2.82869,0.15
01.02.2016 22:00,0,0,100671,278.85,2.90343,0.15
01.02.2016 23:00,0,0,100673,279.45,3.00159,0.15
01.03.2016 00:00,0,0,100667,273.85,3.05818,0.15
01.03.2016 01:00,0,0,100665,280.75,3.00373,0.15
01.03.2016 02:00,0,0,100680,274.05,2.75149,0.15
01.03.2016 03:00,0,0,100679,274.15,2.51612,0.15
01.03.2016 04:00,0,0,100674,283.65,2.37815,0.15
01.03.2016 05:00,0,0,100665,284.05,2.15363,0.15
01.03.2016 06:00,0,0,100661,284.35,2.02063,0.15
01.03.2016 07:00,0,0,100659,284.95,1.95815,0.15
01.03.2016 08:00,10,0,100658,284.65,1.97792,0.15
01.03.2016 09:00,12,0,100660,284.25,2.55804,0.15
01.03.2016 10:00,19,0,100694,283.65,3.32156,0.15
01.03.2016 11:00,80,0,100735,282.75,3.6103,0.15
01.03.2016 12:00,46,0,100768,281.95,3.44013,0.15
01.03.2016 13:00,17,0,100796,281.85,2.96,0.15
01.03.2016 14:00,6,0,100837,281.35,2.35225,0.15
01.03.2016 15:00,0,0,100866,280.65,2.01119,0.15
01.03.2016 16:00,0,0,100887,280.05,2.11988,0.15
01.03.2016 17:00,0,0,100918,279.55,2.29444,0.15
01.03.2016 18:00,0,0,100952,279.25,2.27325,0.15
01.03.2016 19:00,0,0,100985,278.85,2.15235,0.15
01.03.2016 20:00,0,0,100994,278.65,1.89341,0.15
01.03.2016 21:00,0,0,101000,278.75,1.65454,0.15
01.03.2016 22:00,0,0,101008,278.95,1.52908,0.15
01.03.2016 23:00,0,0,101029,278.05,1.48863,0.15
01.04.2016 00:00,0,0,101045,278.75,1.4753,0.15
01.04.2016 01:00,0,0,101052,279.45,1.50899,0.15
01.04.2016 02:00,0,0,101037,279.95,1.28043,0.15
01.04.2016 03:00,0,0,100998,273.85,1.10342,0.15
01.04.2016 04:00,0,0,100954,280.05,1.06461,0.15
01.04.2016 05:00,0,0,100920,279.85,0.92526,0.15
01.04.2016 06:00,0,0,100881,280.25,0.825706,0.15
01.04.2016 07:00,0,0,100838,280.05,0.701859,0.15
01.04.2016 08:00,9,0,100787,279.75,0.636228,0.15
01.04.2016 09:00,88,21,100757,279.65,0.625409,0.15
01.04.2016 10:00,131,6,100724,273.85,0.532847,0.15
01.04.2016 11:00,97,0,100683,280.25,0.583273,0.15
01.04.2016 12:00,106,4,100647,280.05,0.510706,0.15
01.04.2016 13:00,80,1,100616,279.65,0.221911,0.15
01.04.2016 14:00,42,0,100589,273.85,0.385802,0.15
01.04.2016 15:00,4,0,100554,280.25,0.635682,0.15
01.04.2016 16:00,0,0,100512,273.85,0.722206,0.15
01.04.2016 17:00,0,0,100467,280.45,0.635188,0.15
01.04.2016 18:00,0,0,100431,280.75,0.403484,0.15
01.04.2016 19:00,0,0,100399,281.25,0.257645,0.15
01.04.2016 20:00,0,0,100364,281.65,0.230887,0.15
01.04.2016 21:00,0,0,100326,281.95,0.289493,0.15
01.04.2016 22:00,0,0,100291,274.05,0.674469,0.15
01.04.2016 23:00,0,0,100256,279.95,1.13613,0.15
01.05.2016 00:00,0,0,100220,279.95,1.48263,0.15
01.05.2016 01:00,0,0,100181,281.25,1.54889,0.15
01.05.2016 02:00,0,0,100140,281.65,1.36231,0.15
01.05.2016 03:00,0,0,100091,281.85,1.30019,0.15
01.05.2016 04:00,0,0,100042,281.65,1.22271,0.15
01.05.2016 05:00,0,0,99998.2,273.95,1.06734,0.15
01.05.2016 06:00,0,0,99948.1,280.75,0.971272,0.15
01.05.2016 07:00,0,0,99886.7,280.65,1.09976,0.15
01.05.2016 08:00,2,0,99818.8,279.85,1.37298,0.15
01.05.2016 09:00,66,6,99756.1,277.75,1.56233,0.15
01.05.2016 10:00,55,0,99696.6,277.85,1.60909,0.15
01.05.2016 11:00,86,10,99642.5,278.35,1.47126,0.15
01.05.2016 12:00,140,18,99582.7,278.35,1.22238,0.15
01.05.2016 13:00,89,6,99521.3,277.85,1.05889,0.15
01.05.2016 14:00,56,1,99471.2,276.95,1.27001,0.15
01.05.2016 15:00,16,0,99432.7,276.45,1.55222,0.15
01.05.2016 16:00,0,0,99403.5,277.95,1.70032,0.15
01.05.2016 17:00,0,0,99363.6,277.75,1.75863,0.15
01.05.2016 18:00,0,0,99323.1,277.45,1.6418,0.15
01.05.2016 19:00,0,0,99287.1,277.95,1.43202,0.15
01.05.2016 20:00,0,0,99238.3,278.45,1.39284,0.15
01.05.2016 21:00,0,0,99190.8,278.35,1.30528,0.15
01.05.2016 22:00,0,0,99160.1,278.95,1.14158,0.15
