product name,value to be included in the spreadsheet
ABB: MICRO-0.25-I-OUTD-US-208 [208V],ABB__MICRO_0_25_I_OUTD_US_208__208V_
ABB: MICRO-0.25-I-OUTD-US-240 [240V],ABB__MICRO_0_25_I_OUTD_US_240__240V_
ABB: MICRO-0.3-I-OUTD-US-208 [208V],ABB__MICRO_0_3_I_OUTD_US_208__208V_
ABB: MICRO-0.3-I-OUTD-US-240 [240V],ABB__MICRO_0_3_I_OUTD_US_240__240V_
ABB: MICRO-0.3HV-I-OUTD-US-208 [208V],ABB__MICRO_0_3HV_I_OUTD_US_208__208V_
ABB: MICRO-0.3HV-I-OUTD-US-240 [240V],ABB__MICRO_0_3HV_I_OUTD_US_240__240V_
ABB: PVI-10.0-I-OUTD-x-US-208-y [208V],ABB__PVI_10_0_I_OUTD_x_US_208_y__208V_
ABB: PVI-10.0-I-OUTD-x-US-480-y-z [480V],ABB__PVI_10_0_I_OUTD_x_US_480_y_z__480V_
ABB: PVI-12.0-I-OUTD-x-US-480-y [480V],ABB__PVI_12_0_I_OUTD_x_US_480_y__480V_
ABB: PVI-3.0-OUTD-S-US [208V],ABB__PVI_3_0_OUTD_S_US__208V_
ABB: PVI-3.0-OUTD-S-US [240V],ABB__PVI_3_0_OUTD_S_US__240V_
ABB: PVI-3.0-OUTD-S-US [277V],ABB__PVI_3_0_OUTD_S_US__277V_
ABB: PVI-3.0-OUTD-S-US-A [208V],ABB__PVI_3_0_OUTD_S_US_A__208V_
ABB: PVI-3.0-OUTD-S-US-A [240V],ABB__PVI_3_0_OUTD_S_US_A__240V_
ABB: PVI-3.0-OUTD-S-US-A [277V],ABB__PVI_3_0_OUTD_S_US_A__277V_
ABB: PVI-3.0-OUTD-S-US-Z [208V],ABB__PVI_3_0_OUTD_S_US_Z__208V_
ABB: PVI-3.0-OUTD-S-US-Z [240V],ABB__PVI_3_0_OUTD_S_US_Z__240V_
ABB: PVI-3.0-OUTD-S-US-Z [277V],ABB__PVI_3_0_OUTD_S_US_Z__277V_
ABB: PVI-3.0-OUTD-S-US-Z-A [208V],ABB__PVI_3_0_OUTD_S_US_Z_A__208V_
ABB: PVI-3.0-OUTD-S-US-Z-A [240V],ABB__PVI_3_0_OUTD_S_US_Z_A__240V_
ABB: PVI-3.0-OUTD-S-US-Z-A [277V],ABB__PVI_3_0_OUTD_S_US_Z_A__277V_
ABB: PVI-3.0-OUTD-S-US-Z-M-A [208V],ABB__PVI_3_0_OUTD_S_US_Z_M_A__208V_
ABB: PVI-3.0-OUTD-S-US-Z-M-A [240V],ABB__PVI_3_0_OUTD_S_US_Z_M_A__240V_
ABB: PVI-3.0-OUTD-S-US-Z-M-A [277V],ABB__PVI_3_0_OUTD_S_US_Z_M_A__277V_
ABB: PVI-3.0-OUTD-US [208V],ABB__PVI_3_0_OUTD_US__208V_
ABB: PVI-3.0-OUTD-US [240V],ABB__PVI_3_0_OUTD_US__240V_
ABB: PVI-3.0-OUTD-US [277V],ABB__PVI_3_0_OUTD_US__277V_
ABB: PVI-3.6-OUTD-S-US [208V],ABB__PVI_3_6_OUTD_S_US__208V_
ABB: PVI-3.6-OUTD-S-US [240V],ABB__PVI_3_6_OUTD_S_US__240V_
ABB: PVI-3.6-OUTD-S-US [277V],ABB__PVI_3_6_OUTD_S_US__277V_
ABB: PVI-3.6-OUTD-S-US-A [208V],ABB__PVI_3_6_OUTD_S_US_A__208V_
ABB: PVI-3.6-OUTD-S-US-A [240V],ABB__PVI_3_6_OUTD_S_US_A__240V_
ABB: PVI-3.6-OUTD-S-US-A [277V],ABB__PVI_3_6_OUTD_S_US_A__277V_
ABB: PVI-3.6-OUTD-S-US-Z [208V],ABB__PVI_3_6_OUTD_S_US_Z__208V_
