product name,value to be included in the spreadsheet
"Ablerex Electronics Co., Ltd.: ES 2200-US-240 (240 Vac) 240V [CEC 2011]",Ablerex_Electronics_Co___Ltd___ES_2200_US_240__240_Vac__240V__CEC_2011_
Sainty Solar: SSI-2K2U 240V [CEC 2011],Sainty_Solar__SSI_2K2U_240V__CEC_2011_
Carlo Gavazzi: SUNERGY 5000-70/240 240V [CEC 2011],Carlo_Gavazzi__SUNERGY_5000_70_240_240V__CEC_2011_
"Ablerex Electronics Co., Ltd.: ES 3300-US-240 (240 Vac) 240V [CEC 2011]",Ablerex_Electronics_Co___Ltd___ES_3300_US_240__240_Vac__240V__CEC_2011_
Sainty Solar: SSI-3K3U 240V [CEC 2011],Sainty_Solar__SSI_3K3U_240V__CEC_2011_
Carlo Gavazzi: ISGA 1 33 240V [CEC 2011],Carlo_Gavazzi__ISGA_1_33_240V__CEC_2011_
"Ablerex Electronics Co., Ltd.: ES 4200-US-240 (240 Vac) 240V [CEC 2011]",Ablerex_Electronics_Co___Ltd___ES_4200_US_240__240_Vac__240V__CEC_2011_
Sainty Solar: SSI-4K4U 240V [CEC 2011],Sainty_Solar__SSI_4K4U_240V__CEC_2011_
Carlo Gavazzi: ISGA 1 42 240V [CEC 2011],Carlo_Gavazzi__ISGA_1_42_240V__CEC_2011_
"Ablerex Electronics Co., Ltd.: ES 5000-US-240 (240 Vac) 240V [CEC 2011]",Ablerex_Electronics_Co___Ltd___ES_5000_US_240__240_Vac__240V__CEC_2011_
Sainty Solar: SSI-5K5U 240V [CEC 2011],Sainty_Solar__SSI_5K5U_240V__CEC_2011_
Carlo Gavazzi: ISGA 1 53 240V [CEC 2011],Carlo_Gavazzi__ISGA_1_53_240V__CEC_2011_
Advanced Energy: 3159000-104 480V [CEC 2007],Advanced_Energy__3159000_104_480V__CEC_2007_
Advanced Energy: PVP250kW-480 480V [CEC 2011],Advanced_Energy__PVP250kW_480_480V__CEC_2011_
Advanced Energy: Solaron 333-3159000-105 480V [CEC 2008],Advanced_Energy__Solaron_333_3159000_105_480V__CEC_2008_
Advanced Energy: Solaron 333-3159000-1XX 480V [CEC 2009],Advanced_Energy__Solaron_333_3159000_1XX_480V__CEC_2009_
Advanced Energy: 3159000-110 480V [CEC 2008],Advanced_Energy__3159000_110_480V__CEC_2008_
Advanced Energy: Solaron 333-3159500-001 480V [CEC 2009],Advanced_Energy__Solaron_333_3159500_001_480V__CEC_2009_
Advanced Energy: Solaron 500 HE (3159502-XXXX) 480V [CEC 2011],Advanced_Energy__Solaron_500_HE__3159502_XXXX__480V__CEC_2011_
Alpha Technologies: Solaris 3500 240V [CEC 2005],Alpha_Technologies__Solaris_3500_240V__CEC_2005_
Alpha Technologies: Solaris 3500 XP 240V [CEC 2005],Alpha_Technologies__Solaris_3500_XP_240V__CEC_2005_
Apparent Inc.: MGI220-MC4 120V [CEC 2011],Apparent_Inc___MGI220_MC4_120V__CEC_2011_
Auxin Solar:  AXU-PV1500U (208V) 208V [CEC 2010],Auxin_Solar___AXU_PV1500U__208V__208V__CEC_2010_
Auxin Solar:  AXU-PV1500U (240V) 240V [CEC 2010],Auxin_Solar___AXU_PV1500U__240V__240V__CEC_2010_
Auxin Solar: AXU-PV2000U (208V) 208V [CEC 2010],Auxin_Solar__AXU_PV2000U__208V__208V__CEC_2010_
Auxin Solar: AXU-PV2000U (240V) 240V [CEC 2010],Auxin_Solar__AXU_PV2000U__240V__240V__CEC_2010_
Auxin Solar: AXU-PV3000U (208V) 208V [CEC 2010],Auxin_Solar__AXU_PV3000U__208V__208V__CEC_2010_
