product name,value to be included in the spreadsheet
A10Green Technology A10J-S72-175,A10Green_Technology_A10J_S72_175
A10Green Technology A10J-S72-180,A10Green_Technology_A10J_S72_180
A10Green Technology A10J-S72-185,A10Green_Technology_A10J_S72_185
A10Green Technology A10J-M60-220,A10Green_Technology_A10J_M60_220
A10Green Technology A10J-M60-225,A10Green_Technology_A10J_M60_225
A10Green Technology A10J-M60-230,A10Green_Technology_A10J_M60_230
A10Green Technology A10J-M60-235,A10Green_Technology_A10J_M60_235
A10Green Technology A10J-M60-240,A10Green_Technology_A10J_M60_240
A2Peak Power POWER ON P220-6x10,A2Peak_Power_POWER_ON_P220_6x10
Aavid Solar ASMS-165P,Aavid_Solar_ASMS_165P
Aavid Solar ASMS-180M,Aavid_Solar_ASMS_180M
Aavid Solar ASMS-185M,Aavid_Solar_ASMS_185M
Aavid Solar ASMS-220P,Aavid_Solar_ASMS_220P
Aavid Solar ASMS-225M,Aavid_Solar_ASMS_225M
Aavid Solar ASMS-230M,Aavid_Solar_ASMS_230M
Aavid Solar ASMS-235M,Aavid_Solar_ASMS_235M
Aavid Solar ASMS-270P,Aavid_Solar_ASMS_270P
Aavid Thermalloy ASMP-175M,Aavid_Thermalloy_ASMP_175M
Aavid Thermalloy ASMP-180M,Aavid_Thermalloy_ASMP_180M
Ablytek 5MN6C175-A0,Ablytek_5MN6C175_A0
Ablytek 5MN6C180-A0,Ablytek_5MN6C180_A0
Ablytek 5MN6C185-A0,Ablytek_5MN6C185_A0
Ablytek 6PN6A220-A0,Ablytek_6PN6A220_A0
Ablytek 6PN6A225-A0,Ablytek_6PN6A225_A0
Ablytek 6PN6A230-A0,Ablytek_6PN6A230_A0
Ablytek 6PN6A235-A0,Ablytek_6PN6A235_A0
Ablytek 6PN6A240-A0,Ablytek_6PN6A240_A0
Ablytek 6MN6A270,Ablytek_6MN6A270
Ablytek 6MN6A275,Ablytek_6MN6A275
Ablytek 6MN6A280,Ablytek_6MN6A280
Ablytek 6MN6A285,Ablytek_6MN6A285
Ablytek 6MN6A290,Ablytek_6MN6A290
AccuSolar Power ASP610-B230,AccuSolar_Power_ASP610_B230
Advance Power API-P210,Advance_Power_API_P210
Advance Power API-P215,Advance_Power_API_P215
Advance Power API-P220,Advance_Power_API_P220
Advance Power API-M225,Advance_Power_API_M225
Advance Power API-P225,Advance_Power_API_P225
Advance Power API-M230,Advance_Power_API_M230
Advance Power API-P230,Advance_Power_API_P230
Advance Power API-M235,Advance_Power_API_M235
Advance Power API-P235,Advance_Power_API_P235
Advance Power API-M240,Advance_Power_API_M240
Advance Power API-P240,Advance_Power_API_P240
Advance Power API-M245,Advance_Power_API_M245
Advance Power API-P245,Advance_Power_API_P245
Advance Power API-M250,Advance_Power_API_M250
Advance Power API-P250,Advance_Power_API_P250
Advance Power API-M255,Advance_Power_API_M255
Advance Power API-P255,Advance_Power_API_P255
Advance Power API-M260,Advance_Power_API_M260
Advance Power API-P260,Advance_Power_API_P260
Advance Power API-M265,Advance_Power_API_M265
Advance Power API-P265,Advance_Power_API_P265
Advance Power API-M270,Advance_Power_API_M270
Advance Power API-P270,Advance_Power_API_P270
Advance Power API-M275,Advance_Power_API_M275
Advance Power API-P275,Advance_Power_API_P275
Advance Power API-M280,Advance_Power_API_M280
Advance Power API-P280,Advance_Power_API_P280
Advance Power API-M285,Advance_Power_API_M285
Advance Power API-P285,Advance_Power_API_P285
Advance Power API-M290,Advance_Power_API_M290
Advance Power API-P290,Advance_Power_API_P290
Advance Power API-M295,Advance_Power_API_M295
Advance Power API-P295,Advance_Power_API_P295
Advance Power API-M300,Advance_Power_API_M300
Advance Power API-P300,Advance_Power_API_P300
Advance Power API-M305,Advance_Power_API_M305
Advance Power API-P305,Advance_Power_API_P305
Advance Power API-M310,Advance_Power_API_M310
Advance Power API-P310,Advance_Power_API_P310
Advance Power API-M315,Advance_Power_API_M315
Advance Power API-P315,Advance_Power_API_P315
Advance Power API-P320,Advance_Power_API_P320
Advance Power API-P325,Advance_Power_API_P325
Advance Power API-M330,Advance_Power_API_M330
Advance Power API-P330,Advance_Power_API_P330
Advance Power API-M335,Advance_Power_API_M335
Advance Power API-P335,Advance_Power_API_P335
Advance Power API-M340,Advance_Power_API_M340
Advance Power API-M345,Advance_Power_API_M345
Advance Power API-M350,Advance_Power_API_M350
Advance Power API-M355,Advance_Power_API_M355
Advance Power API-M360,Advance_Power_API_M360
Advance Power API-M365,Advance_Power_API_M365
Advance Power API-M370,Advance_Power_API_M370
Advance Solar Hydro Wind Power API-150,Advance_Solar_Hydro_Wind_Power_API_150
Advance Solar Hydro Wind Power API-160,Advance_Solar_Hydro_Wind_Power_API_160
Advance Solar Hydro Wind Power API-165,Advance_Solar_Hydro_Wind_Power_API_165
Advance Solar Hydro Wind Power API-170,Advance_Solar_Hydro_Wind_Power_API_170
Advance Solar Hydro Wind Power API-175,Advance_Solar_Hydro_Wind_Power_API_175
Advance Solar Hydro Wind Power API-180,Advance_Solar_Hydro_Wind_Power_API_180
Advance Solar Hydro Wind Power API156P-200,Advance_Solar_Hydro_Wind_Power_API156P_200
Advance Solar Hydro Wind Power API156P-210,Advance_Solar_Hydro_Wind_Power_API156P_210
Advance Solar Hydro Wind Power API156P-220,Advance_Solar_Hydro_Wind_Power_API156P_220
Advance Solar Hydro Wind Power API156P-230,Advance_Solar_Hydro_Wind_Power_API156P_230
Advanced Renewable Energy AREi-210W-M6-G,Advanced_Renewable_Energy_AREi_210W_M6_G
Advanced Renewable Energy AREi-215W-M6-G,Advanced_Renewable_Energy_AREi_215W_M6_G
Advanced Renewable Energy AREi-220W-M6-G,Advanced_Renewable_Energy_AREi_220W_M6_G
