product name,value to be included in the spreadsheet
Advent Solar AS160 [ 2006],Advent_Solar_AS160___2006_
Advent Solar Ventura 210 [ 2008],Advent_Solar_Ventura_210___2008_
Advent Solar Ventura 215 [ 2009],Advent_Solar_Ventura_215___2009_
Aleo S03 160 [2007 (E)],Aleo_S03_160__2007__E__
Aleo S03 165 [2007 (E)],Aleo_S03_165__2007__E__
Aleo S16 165 [2007 (E)],Aleo_S16_165__2007__E__
Aleo S16 170 [2007 (E)],Aleo_S16_170__2007__E__
Aleo S16 175 [2007 (E)],Aleo_S16_175__2007__E__
Aleo S16 180 [2007 (E)],Aleo_S16_180__2007__E__
Aleo S16 185 [2007 (E)],Aleo_S16_185__2007__E__
AstroPower AP-100 [ 2001],AstroPower_AP_100___2001_
AstroPower AP-100 [2000 (E)],AstroPower_AP_100__2000__E__
AstroPower AP-110 [ 2001],AstroPower_AP_110___2001_
AstroPower AP-110 [1999 (E)],AstroPower_AP_110__1999__E__
AstroPower AP-120 [ 2001],AstroPower_AP_120___2001_
AstroPower AP-120 [1999 (E)],AstroPower_AP_120__1999__E__
AstroPower AP-1206 [ 1998],AstroPower_AP_1206___1998_
AstroPower AP-130 [ 2001],AstroPower_AP_130___2001_
AstroPower AP-130 [2002 (E)],AstroPower_AP_130__2002__E__
AstroPower AP-50 [ 2001],AstroPower_AP_50___2001_
AstroPower AP-50 [2000 (E)],AstroPower_AP_50__2000__E__
AstroPower AP-65 [1999 (E)],AstroPower_AP_65__1999__E__
AstroPower AP-75 [ 2001],AstroPower_AP_75___2001_
AstroPower AP-75 [ 2003],AstroPower_AP_75___2003_
AstroPower AP-75 [2003 (E)],AstroPower_AP_75__2003__E__
AstroPower AP-8225 [ 1997],AstroPower_AP_8225___1997_
AstroPower APX-110-SL [ 2002],AstroPower_APX_110_SL___2002_
AstroPower APX-110-SL [2002 (E)],AstroPower_APX_110_SL__2002__E__
AstroPower APX-120 [ 2001],AstroPower_APX_120___2001_
AstroPower APX-120 [2002 (E)],AstroPower_APX_120__2002__E__
AstroPower APX-130 [ 2001],AstroPower_APX_130___2001_
AstroPower APX-130 [2002 (E)],AstroPower_APX_130__2002__E__
AstroPower APX-140 [2002 (E)],AstroPower_APX_140__2002__E__
AstroPower APX-40 [2002 (E)],AstroPower_APX_40__2002__E__
AstroPower APX-45 [ 2001],AstroPower_APX_45___2001_
AstroPower APX-45 [1999 (E)],AstroPower_APX_45__1999__E__
AstroPower APX-45 [2002 (E)],AstroPower_APX_45__2002__E__
AstroPower APX-50 [2002 (E)],AstroPower_APX_50__2002__E__
AstroPower APX-65 [ 2001],AstroPower_APX_65___2001_
AstroPower APX-65 [2002 (E)],AstroPower_APX_65__2002__E__
AstroPower APX-75 [2002 (E)],AstroPower_APX_75__2002__E__
AstroPower APX-75-SC [2002 (E)],AstroPower_APX_75_SC__2002__E__
AstroPower APX-90 [1999 (E)],AstroPower_APX_90__1999__E__
BP Solar BP2140S [2000 (E)],BP_Solar_BP2140S__2000__E__
BP Solar BP2150S [2000 (E)],BP_Solar_BP2150S__2000__E__
BP Solar BP270 [2000 (E)],BP_Solar_BP270__2000__E__
BP Solar BP275 [2000 (E)],BP_Solar_BP275__2000__E__
BP Solar BP3110 [2006 (E)],BP_Solar_BP3110__2006__E__
BP Solar BP3115 [2006 (E)],BP_Solar_BP3115__2006__E__
BP Solar BP3120 [2006 (E)],BP_Solar_BP3120__2006__E__
BP Solar BP3125 [2003 (E)],BP_Solar_BP3125__2003__E__
BP Solar BP3125 [2006 (E)],BP_Solar_BP3125__2006__E__
BP Solar BP3135 [2006 (E)],BP_Solar_BP3135__2006__E__
BP Solar BP3150 [2003 (E)],BP_Solar_BP3150__2003__E__
BP Solar BP3160 [2003 (E)],BP_Solar_BP3160__2003__E__
BP Solar BP3180N [ 2010],BP_Solar_BP3180N___2010_
BP Solar BP3220N Module [ 2010],BP_Solar_BP3220N_Module___2010_
BP Solar BP3232G [ 2010],BP_Solar_BP3232G___2010_
BP Solar BP340 [2004 (E)],BP_Solar_BP340__2004__E__
BP Solar BP350 [2004 (E)],BP_Solar_BP350__2004__E__
BP Solar BP365 [2004 (E)],BP_Solar_BP365__2004__E__
BP Solar BP365TS [2007 (E)],BP_Solar_BP365TS__2007__E__
BP Solar BP380 [ 2004],BP_Solar_BP380___2004_
BP Solar BP380 [2003 (E)],BP_Solar_BP380__2003__E__
BP Solar BP380 [2006 (E)],BP_Solar_BP380__2006__E__
BP Solar BP380J Module [ 2009],BP_Solar_BP380J_Module___2009_
BP Solar BP380J Module [2009 (E)],BP_Solar_BP380J_Module__2009__E__
BP Solar BP4150 [2003 (E)],BP_Solar_BP4150__2003__E__
BP Solar BP4160 [2003 (E)],BP_Solar_BP4160__2003__E__
BP Solar BP4170 [2003 (E)],BP_Solar_BP4170__2003__E__
BP Solar BP4175 [2004 (E)],BP_Solar_BP4175__2004__E__
BP Solar BP485 [2004 (E)],BP_Solar_BP485__2004__E__
BP Solar BP5130 [2000 (E)],BP_Solar_BP5130__2000__E__
BP Solar BP580 [2000 (E)],BP_Solar_BP580__2000__E__
BP Solar BP580 [2002 (E)],BP_Solar_BP580__2002__E__
BP Solar BP585 [ 2001],BP_Solar_BP585___2001_
BP Solar BP585 [2000 (E)],BP_Solar_BP585__2000__E__
BP Solar BP585 [2002 (E)],BP_Solar_BP585__2002__E__
BP Solar BP980 [2001 (E)],BP_Solar_BP980__2001__E__
BP Solar BP990 [2001 (E)],BP_Solar_BP990__2001__E__
BP Solar MSX110 [2003 (E)],BP_Solar_MSX110__2003__E__
BP Solar MSX120 [2003 (E)],BP_Solar_MSX120__2003__E__
BP Solar MSX60 [2003 (E)],BP_Solar_MSX60__2003__E__
BP Solar MSX64 [2003 (E)],BP_Solar_MSX64__2003__E__
BP Solar SX110 [2003 (E)],BP_Solar_SX110__2003__E__
BP Solar SX110S [2003 (E)],BP_Solar_SX110S__2003__E__
BP Solar SX120 [2003 (E)],BP_Solar_SX120__2003__E__
BP Solar SX120S [2003 (E)],BP_Solar_SX120S__2003__E__
BP Solar SX140 [2003 (E)],BP_Solar_SX140__2003__E__
BP Solar SX150 [2003 (E)],BP_Solar_SX150__2003__E__
BP Solar SX160 [2003 (E)],BP_Solar_SX160__2003__E__
BP Solar SX160B [2005 (E)],BP_Solar_SX160B__2005__E__
BP Solar SX170B [2005 (E)],BP_Solar_SX170B__2005__E__
BP Solar SX305 [2007 (E)],BP_Solar_SX305__2007__E__
BP Solar SX310 [2007 (E)],BP_Solar_SX310__2007__E__
BP Solar SX3130 [2007 (E)],BP_Solar_SX3130__2007__E__
BP Solar SX3140 [2007 (E)],BP_Solar_SX3140__2007__E__
BP Solar SX3150 [2003 (E)],BP_Solar_SX3150__2003__E__
BP Solar SX3160 [2003 (E)],BP_Solar_SX3160__2003__E__
BP Solar SX3190 [2007 (E)],BP_Solar_SX3190__2007__E__
BP Solar SX3195 [2007 (E)],BP_Solar_SX3195__2007__E__
