ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
central_pv_sys_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_pv_sys_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_wc_bus_shortage,source,0.0,0,3183.21,0,3.69,935.95,0,0,0,0.0
central_Kommende_wc_elec_bus_excess,sink,1101.98,0,0,0,1.29,-1430.13,0,0,0,-1061423.41
central_heatpump_elec_bus_shortage,source,0.0,0,368.66,0,1.5,731.86,0,0,0,1368029.8
central_Kommende_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
screw_turbine__electricity_bus_excess,sink,5127.71,0,0,0,20.0,-6316.7,0,0,0,-72265.08
GCHP25_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
Gartenhuette_GB_electricity_bus_shortage,source,0.0,0,570.89,0,9.92,1508.99,0,0,0,2118492.33
Schaafstall_electricity_bus_shortage,source,0.0,0,1.29,0,0.26,4.48,0,0,0,4785.87
Schaafstall_pv_bus_excess,sink,1.64,0,0,0,0.14,-1.14,0,0,0,-448.83
Schaafstall_gas_bus_shortage,source,0.0,0,661.84,0,2.59,724.04,0,0,0,0.0
Residenz_JB_electricity_bus_shortage,source,0.0,0,13.63,0,4.18,47.35,0,0,0,50588.42
Residenz_JB_pv_bus_excess,sink,199.62,0,0,0,5.31,-138.23,0,0,0,-54644.67
Residenz_JB_hp_elec_bus_shortage,source,0.0,0,35.25,0,0.19,89.48,0,0,0,130792.55
central_pv_syspv_central_electricity_link,link,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
central_pv_syscentral_electricity_link,link,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
central_Kommende_wc_elec_central_link,link,12.14,0,12.14,0,1.29,0.0,0.0,0.0,0,0.0
central_heatpump_electricity_link,link,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
screw_turbine_pv_central_electricity_link,link,3135.12,0,3135.12,0,17.11,0.0,0.0,0.0,0,0.0
Gartenhuette_GB_central_electricity_link,link,3356.24,0,3356.24,0,9.92,4733.37,0.0,0.0,0,0.0
Schaafstall_central_electricity_link,link,128.45,0,128.45,0,0.31,181.15,0.0,0.0,0,0.0
Schaafstall_pv_Schaafstall_electricity_link,link,17.74,0,17.74,0,0.24,0.0,0.0,0.0,0,0.0
Schaafstall_pv_central_electricity_link,link,0.22,0,0.22,0,0.08,0.0,0.0,0.0,0,0.0
Residenz_JB_central_electricity_link,link,387.28,0,387.28,0,6.96,546.18,0.0,0.0,0,0.0
Residenz_JB_pv_Residenz_JB_electricity_link,link,160.22,0,160.22,0,6.95,0.0,0.0,0.0,0,0.0
Residenz_JB_pv_central_electricity_link,link,724.48,0,724.48,0,7.41,0.0,0.0,0.0,0,0.0
Residenz_JB_building_hp_elec_link,link,24.1,0,24.1,0,0.19,0.0,0.0,0.0,0,0.0
Residenz_JB_parcel_gchp_elec_link,link,59.35,0,59.35,0,0.19,0.0,0.0,0.0,0,0.0
Residenz_JB_parcel_gchp_heat_link,link,229.43,0,229.43,0,0.73,0.0,0.0,0.0,0,0.0
central_thermal_storageTisch_thermal_storage,storage,102.15,0,96.06,0,27.78,0.0,83.33,27.78,5000,20638.43
central_battery_storage,storage,0.0,0,0.0,0,0.0,0,0.0,0.0,5000,0
Residenz_JB_battery_storage,storage,0.0,0,0.0,0,0.0,0,0.0,0.0,1000,0
Residenz_JB_thermal_storage,storage,52.31,0,51.03,0,2.91,0.0,11.65,2.91,750,1758.86
Gartenhuette_GB_electricity_demand,sink,3927.13,0,0,0,9.92,0,0,0,0,0
Gartenhuette_GB_heat_demand,sink,3813.24,0,0,0,15.2,0,0,0,0,0
insulation-Gartenhuette_GB_wall,insulation,0.0,0,561.04,0,2.24,0.0,304.0,2.24,2.236761,10800.0
insulation-Gartenhuette_GB_roof,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,0.4458408750000001,0
Schaafstall_electricity_demand,sink,147.47,0,0,0,0.31,0,0,0,0,0
Schaafstall_heat_demand,sink,1057.71,0,0,0,4.13,0,0,0,0,0
insulation-Schaafstall_window,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,0.64986975,0
insulation-Schaafstall_wall,insulation,0.0,0,448.82,0,1.75,0.0,608.0,1.75,1.7531370000000002,21600.0
insulation-Schaafstall_roof,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,0.28715175000000004,0
Residenz_JB_electricity_demand,sink,353.94,0,0,0,0.76,0,0,0,0,0
Residenz_JB_heat_demand,sink,228.15,0,0,0,1.15,0,0,0,0,0
insulation-Residenz_JB_window,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,4.0616859375,0
insulation-Residenz_JB_wall,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,2.1158550000000003,0
insulation-Residenz_JB_roof,insulation,0.0,0,0.0,0,0.0,0,0.0,0.0,0.18891562500000017,0
Residenz_JB_electric_vehicle,sink,183.09,0,0,0,6.35,0,0,0,0,0
central_Kommende_wc_chp_transformer,transformer,3183.21,0,1114.12,1909.93,1.29,0.0,987.81,1.29,10000,2138166.78
central_gchp_freiflaeche_K_heatpump_transformer,transformer,368.66,1948.68,2317.33,0,9.42,0.0,376.99,9.42,10000,187961.54
central_Kommende_wc2_heating_plant_transformer,transformer,0.0,0,0.0,0,0.0,0,0.0,0.0,500,0
GCHP25_gchp_transformer,transformer,170.08,59.35,229.43,0,0.73,0.0,104.03,0.73,999,18609.22
Schaafstall_gasheating_transformer,transformer,661.84,0,608.89,0,2.38,0.0,261.62,2.38,500,1432241.13
Residenz_JB_ashp_transformer,transformer,0.0,0.0,0.0,0,0.0,0,0.0,0.0,500,0
central_pv_sys_1_pv_source,source,0.0,0,0.0,0,0.0,0,0.0,0.0,2850,0
central_pv_sys_1_solarthermal_source,source,0.0,0.0,0.0,0,0.0,0,0.0,0.0,11700,0
screw_turbine,source,0.0,0,8262.83,0,20.0,0.0,9260.0,20.0,20,116448.48
Schaafstall_1_pv_source,source,0.0,0,19.6,0,0.34,0.0,33.95,0.36,28.5,5364.76
Schaafstall_1_solarthermal_source,source,0.0,0.0,0.0,0,0.0,0,0.0,0.0,117,0
Residenz_JB_1_pv_source,source,0.0,0,1084.32,0,10.2,0.0,968.86,10.2,38,296832.54
Residenz_JB_1_solarthermal_source,source,0.0,0.0,0.0,0,0.0,0,0.0,0.0,156,0
