ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
screw_turbine__electricity_bus_excess,sink,0.0,0,0,0,-0.0,0,0,0,0,0
01Schloss_electricity_bus_shortage,source,0.0,0,3122.27,0,40.82,27888.34,0,0,0,29793146.49
01Schloss_hp_elec_bus_shortage,source,0.0,0,5645.29,0,39.39,36854.08,0,0,0,53868188.23
01Schloss_gas_bus_shortage,source,0.0,0,536.33,0,5.11,1508.74,0,0,0,0.0
02Nebengebaeude_electricity_bus_shortage,source,0.0,0,570.43,0,4.38,3877.11,0,0,0,5443126.28
02Nebengebaeude_hp_elec_bus_shortage,source,0.0,0,259.91,0,1.79,1696.74,0,0,0,2480064.21
02Nebengebaeude_pv_bus_excess,sink,65.88,0,0,0,6.35,-117.31,0,0,0,-46373.37
02Nebengebaeude_gas_bus_shortage,source,0.0,0,2940.8,0,19.51,6915.72,0,0,0,0.0
03Kommende1B_electricity_bus_shortage,source,0.0,0,122.12,0,0.84,1090.77,0,0,0,1165270.17
03Kommende1B_hp_elec_bus_shortage,source,0.0,0,65.35,0,0.57,426.62,0,0,0,623571.39
03Kommende1B_pv_bus_excess,sink,18.59,0,0,0,1.38,-33.1,0,0,0,-13085.49
03Kommende1B_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_electricity_bus_shortage,source,0.0,0,65.83,0,0.48,588.03,0,0,0,628197.55
05Kommende3_hp_elec_bus_shortage,source,0.0,0,387.99,0,3.08,2532.9,0,0,0,3702243.53
05Kommende3_pv_bus_excess,sink,7.36,0,0,0,1.88,-13.1,0,0,0,-5178.7
05Kommende3_gas_bus_shortage,source,0.0,0,14.03,0,0.17,39.46,0,0,0,0.0
06Kommende4_electricity_bus_shortage,source,0.0,0,89.64,0,0.63,800.68,0,0,0,855371.61
06Kommende4_hp_elec_bus_shortage,source,0.0,0,215.36,0,1.82,1405.91,0,0,0,2054967.34
06Kommende4_pv_bus_excess,sink,8.49,0,0,0,1.46,-15.12,0,0,0,-5976.82
06Kommende4_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_electricity_bus_shortage,source,0.0,0,68.76,0,0.48,614.15,0,0,0,656093.53
07Kommende5_hp_elec_bus_shortage,source,0.0,0,122.66,0,1.05,800.77,0,0,0,1170453.34
07Kommende5_pv_bus_excess,sink,11.57,0,0,0,1.32,-20.61,0,0,0,-8147.23
07Kommende5_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_electricity_bus_shortage,source,0.0,0,88.57,0,0.63,791.1,0,0,0,845136.79
08Kommende6_hp_elec_bus_shortage,source,0.0,0,241.81,0,1.93,1578.61,0,0,0,2307392.07
08Kommende6_pv_bus_excess,sink,8.83,0,0,0,1.7,-15.72,0,0,0,-6214.42
08Kommende6_gas_bus_shortage,source,0.0,0,14.74,0,0.15,41.47,0,0,0,0.0
09Kommende7_electricity_bus_shortage,source,0.0,0,106.13,0,0.76,947.98,0,0,0,1012724.31
09Kommende7_hp_elec_bus_shortage,source,0.0,0,296.58,0,2.37,1936.16,0,0,0,2830012.7
09Kommende7_pv_bus_excess,sink,10.79,0,0,0,2.08,-19.21,0,0,0,-7592.94
09Kommende7_gas_bus_shortage,source,0.0,0,21.22,0,0.22,59.68,0,0,0,0.0
10Kommende8_electricity_bus_shortage,source,0.0,0,91.14,0,0.63,814.09,0,0,0,869697.86
10Kommende8_hp_elec_bus_shortage,source,0.0,0,120.26,0,0.96,785.06,0,0,0,1147497.26
10Kommende8_pv_bus_excess,sink,6.95,0,0,0,1.12,-12.37,0,0,0,-4891.7
10Kommende8_gas_bus_shortage,source,0.0,0,1.25,0,0.02,3.53,0,0,0,0.0
11Kommende9_electricity_bus_shortage,source,0.0,0,119.31,0,0.84,1065.65,0,0,0,1138439.35
