ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
central_pv_sys_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_pv_sys_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_heatpump_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_bus_shortage,source,0.0,0,1896.07,0,120.81,20069.9,0,0,0,692065.38
central_Tischlerei_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe2_bus_shortage,source,0.0,0,1016.49,0,76.03,35061.39,0,0,0,0.0
central_Tischlerei_wc2_bus_shortage,source,0.0,0,912.69,0,38.03,9660.87,0,0,0,0.0
central_h2_bus_shortage,source,0.0,0,343.19,0,64.4,19566.24,0,0,0,5511616.96
central_Schloss_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_wc_bus_shortage,source,0.0,0,1049.03,0,52.35,11104.02,0,0,0,382897.28
central_Schloss_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe2_bus_shortage,source,0.0,0,546.4,0,29.38,18846.75,0,0,0,0.0
central_Schloss_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_wc_bus_shortage,source,0.0,0,834.65,0,39.79,8834.8,0,0,0,304648.17
central_Kommende_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe2_bus_shortage,source,0.0,0,12.63,0,1.15,435.71,0,0,0,0.0
central_Kommende_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
screw_turbine__electricity_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
01Schloss_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
02Nebengebaeude_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
03Kommende1B_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
06Kommende4_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
07Kommende5_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
08Kommende6_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
09Kommende7_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
10Kommende8_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
