id,id,from_node,to_node,length,component_type,street
1,1,forks-0,consumers-0,81.5836025200252,Pipe,01Schloss1
2,2,forks-1,consumers-1,12.715232509234061,Pipe,02Nebengebaeude1
3,3,forks-2,consumers-2,8.543355947046194,Pipe,03Kommende1B1
4,4,forks-3,consumers-3,5.848059760427159,Pipe,05Kommende31
5,5,forks-4,consumers-4,21.127048009830972,Pipe,06Kommende41
6,6,forks-5,consumers-5,22.983961663823298,Pipe,07Kommende51
7,7,forks-6,consumers-6,9.407123192714957,Pipe,08Kommende61
8,8,forks-7,consumers-7,14.299058285775153,Pipe,09Kommende71
9,9,forks-8,consumers-8,17.463051828351475,Pipe,10Kommende81
10,10,forks-9,consumers-9,16.43877530439061,Pipe,11Kommende91
11,11,forks-10,consumers-10,33.56922293756158,Pipe,12Kommende101
12,12,forks-11,consumers-11,11.521631416364144,Pipe,13Kommende11121
13,13,forks-12,consumers-12,8.298824168153235,Pipe,14Kommende131
14,14,forks-13,consumers-13,10.704214699690088,Pipe,17Muehle1
15,15,forks-14,consumers-14,28.09045605194264,Pipe,19Hotel1
16,16,forks-15,consumers-15,28.09045605194264,Pipe,20Wohngebauede1
17,17,producers-0,forks-43,6.4430084219317285,Pipe,central_heat_input_1_bus
18,18,producers-1,forks-44,11.302230989229038,Pipe,central_heat_input_2_bus
19,19,producers-2,forks-45,81.5836025200252,Pipe,central_heat_input_3_bus
20,20,producers-3,forks-46,76.99134589511253,Pipe,central_heat_input_4_bus
21,21,forks-16,forks-7,7.3234628861843465,Pipe,StrasseK8
22,22,forks-7,forks-6,4.260643727746936,Pipe,StrasseK8
23,23,forks-6,forks-17,7.465324711878055,Pipe,StrasseK8
24,24,forks-18,forks-46,3.8340347376362005,Pipe,StrasseK13
25,25,forks-46,forks-2,11.259149709729638,Pipe,StrasseK13
26,26,forks-2,forks-19,1.0030758227940577,Pipe,StrasseK13
27,27,forks-20,forks-12,9.104765599121375,Pipe,StrasseK6
28,28,forks-12,forks-21,0.2070177897688293,Pipe,StrasseK6
29,29,forks-22,forks-23,6.396828556727069,Pipe,StrasseK15
30,30,forks-24,forks-9,0.7478030374229557,Pipe,StrasseK1
31,31,forks-9,forks-8,9.270809803073847,Pipe,StrasseK1
32,32,forks-8,forks-25,0.3127681251521077,Pipe,StrasseK1
33,33,forks-26,forks-10,0.6941929251313467,Pipe,StrasseK3
34,34,forks-10,forks-27,1.301199148026288,Pipe,StrasseK3
35,35,forks-25,forks-27,7.254714157992243,Pipe,StrasseK2
36,36,forks-26,forks-28,5.835664975710346,Pipe,StrasseK4
37,37,forks-28,forks-11,3.464546735460891,Pipe,StrasseK5
38,38,forks-11,forks-20,0.3499040515259197,Pipe,StrasseK5
39,39,forks-17,forks-5,1.2757038829883172,Pipe,StrasseK9
40,40,forks-5,forks-29,0.27093979088348086,Pipe,StrasseK9
41,41,forks-16,forks-28,3.5071472059487276,Pipe,StrasseK7
42,42,forks-29,forks-30,6.159180805745466,Pipe,StrasseK10
43,43,forks-31,forks-18,6.778188362825911,Pipe,StrasseK12
44,44,forks-30,forks-4,1.5107523742217688,Pipe,StrasseK11
45,45,forks-4,forks-3,8.925939773799604,Pipe,StrasseK11
46,46,forks-3,forks-31,0.5947138706997162,Pipe,StrasseK11
47,47,forks-18,forks-22,8.16982222778531,Pipe,StrasseK14
48,48,forks-32,forks-33,231.30796999046288,Pipe,StrasseFFB
49,49,forks-34,forks-35,49.547928881575885,Pipe,StrasseNG2
50,50,forks-35,forks-1,1.8458268987256203,Pipe,StrasseNGA
51,51,forks-1,forks-36,31.001823353424157,Pipe,StrasseNGA
52,52,forks-37,forks-34,9.323593608726872,Pipe,StrasseNG1
53,53,forks-33,forks-0,25.97985611449646,Pipe,StrasseBB
54,54,forks-0,forks-45,0.0,Pipe,StrasseBB
55,55,forks-45,forks-37,20.51251516366921,Pipe,StrasseBB
56,56,forks-38,forks-13,21.590363613187687,Pipe,StrasseAM2
57,57,forks-13,forks-39,0.02954359803897731,Pipe,StrasseAM2
58,58,forks-36,forks-14,2.5016219259137213,Pipe,StrasseAM1
59,59,forks-14,forks-15,0.0,Pipe,StrasseAM1
60,60,forks-15,forks-38,20.00899400306179,Pipe,StrasseAM1
61,61,forks-39,forks-40,55.387893215045644,Pipe,StrasseMWG
62,62,forks-40,forks-44,19.696236209598908,Pipe,StrasseWGT
63,63,forks-44,forks-41,1.215242685096132,Pipe,StrasseWGT
64,64,forks-23,forks-43,38.89153235806981,Pipe,StrasseKFF
65,65,forks-43,forks-32,1.4000196708447168,Pipe,StrasseKFF
