ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
central_pv_sys_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_pv_sys_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_heatpump_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_bus_shortage,source,0.0,0,5035.09,0,209.8,46496.49,0,0,0,0.0
central_Tischlerei_ng_elec_bus_excess,sink,893.92,0,0,0,78.67,-22252.44,0,0,0,-100494890.45
central_Tischlerei_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_h2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_ng_bus_shortage,source,0.0,0,2202.3,0,91.76,20337.1,0,0,0,0.0
central_Schloss_ng_elec_bus_excess,sink,350.05,0,0,0,34.41,-8713.74,0,0,0,-39352373.58
central_Schloss_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_bus_shortage,source,0.0,0,892.31,0,37.18,8240.03,0,0,0,0.0
central_Kommende_ng_elec_bus_excess,sink,143.24,0,0,0,13.94,-3565.73,0,0,0,-16103291.47
central_Kommende_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
screw_turbine__electricity_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
01Schloss_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
02Nebengebaeude_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
03Kommende1B_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
06Kommende4_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
07Kommende5_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
08Kommende6_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
09Kommende7_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
10Kommende8_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
