ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
central_pv_sys_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_pv_sys_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_heatpump_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe2_bus_shortage,source,0.0,0,2022.93,0,129.93,0.0,0,0,0,69775.76
central_Tischlerei_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_h2_bus_shortage,source,0.0,0,3536.01,0,287.09,56788385.83,0,0,0,201598.77
central_Schloss_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe2_bus_shortage,source,0.0,0,745.16,0,67.86,0.0,0,0,0,25702.28
central_Schloss_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_wc_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_wc_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe2_bus_shortage,source,0.0,0,449.82,0,30.51,0.0,0,0,0,15515.4
central_Kommende_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
screw_turbine__electricity_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
01Schloss_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
02Nebengebaeude_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
03Kommende1B_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
06Kommende4_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
07Kommende5_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
08Kommende6_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
09Kommende7_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
10Kommende8_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
11Kommende9_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
