id,id,lat,lon,component_type,street,t,bus
0,0,52.145781989916706,7.340950582695233,Fork,StrasseBB,0.558785105594900,
1,1,52.14639773468733,7.341306539018646,Fork,StrasseNGA,0.0561754130275026,
2,2,52.14326868465921,7.341017018844002,Fork,StrasseK13,0.937695779761914,
3,3,52.143248095067285,7.341270453951314,Fork,StrasseK11,0.946038475727747,
4,4,52.143174463427606,7.3413222388502914,Fork,StrasseK11,0.136899565542771,
5,5,52.14310872344851,7.341367404787072,Fork,StrasseK9,0.824452567503116,
6,6,52.14303804151803,7.341325010055913,Fork,StrasseK8,0.608078013112276,
7,7,52.143003821153044,7.341297052242191,Fork,StrasseK8,0.384415497734252,
8,8,52.142812640410725,7.341319486856549,Fork,StrasseK1,0.969677498395998,
9,9,52.142742647524344,7.341393069128256,Fork,StrasseK1,0.0723327880256346,
10,10,52.14287978331432,7.341249570809397,Fork,StrasseK3,0.348150063979265,
11,11,52.14295824947265,7.3411784808919816,Fork,StrasseK5,0.908130244513641,
12,12,52.14303531145209,7.341120270994072,Fork,StrasseK6,0.977709035867397,
13,13,52.14673180844195,7.3419737005560375,Fork,StrasseAM2,0.998611801477786,
14,14,52.14665400356848,7.341484231392366,Fork,StrasseAM1,0.111139400342083,
15,15,52.14665400356848,7.341484231392366,Fork,StrasseAM1,0.111139400342083,
16,16,52.142945,7.341249,Fork,,,
17,17,52.143098,7.341374,Fork,,,
18,18,52.143309,7.341228,Fork,,,
19,19,52.143266,7.341003,Fork,,,
20,20,52.142961,7.341176,Fork,,,
21,21,52.143037,7.341119,Fork,,,
22,22,52.143379,7.341192,Fork,,,
23,23,52.143436,7.34118,Fork,,,
24,24,52.142737,7.341399,Fork,,,
25,25,52.142815,7.341317,Fork,,,
26,26,52.142885,7.341244,Fork,,,
27,27,52.14287,7.34126,Fork,,,
28,28,52.142931,7.341203,Fork,,,
29,29,52.143111,7.341366,Fork,,,
30,30,52.143162,7.341331,Fork,,,
31,31,52.143253,7.341267,Fork,,,
32,32,52.143546,7.341742,Fork,,,
33,33,52.145554,7.340869,Fork,,,
34,34,52.146009,7.340902,Fork,,,
35,35,52.146382,7.341298,Fork,,,
36,36,52.146662,7.34145,Fork,,,
37,37,52.145962,7.341015,Fork,,,
38,38,52.14659,7.341758,Fork,,,
39,39,52.146732,7.341974,Fork,,,
40,40,52.147129,7.342463,Fork,,,
41,41,52.147307,7.342561,Fork,,,
43,43,52.143542182829435,7.341722469426234,Fork,StrasseKFF,0.965247445393129,central_heat_input_1_bus
44,44,52.14729665626418,7.342555302455167,Fork,StrasseWGT,0.941857840888964,central_heat_input_2_bus
45,45,52.145781989916706,7.340950582695233,Fork,StrasseBB,0.558785105594900,central_heat_input_3_bus
46,46,52.14329876269363,7.341174403742396,Fork,StrasseK13,0.238207226583906,central_heat_input_4_bus
