ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,181.8,0,1.05,1105.95,0,0,0,1747404.33
01_heat_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,315.55,0,5.78,604.67,0,0,0,0.0
01_oil_bus_shortage,source,0,0,20.4,0,4.47,42.61,0,0,0,0.0
01_pv_bus_excess,sink,91.89,0,0.0,0,2.95,-126.71,0,0,0,-104351.47
01_hp_electricity_bus_shortage,source,0,0,223.4,0,1.03,996.59,0,0,0,2147198.87
01_electricity_sink,sink,246.89,0,0.0,0,1.05,0.0,0,0,0,0.0
01_heat_sink,sink,1442.38,0,0.0,0,13.76,0.0,0,0,0,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0
01_oilheating_transformer,transformer,20.4,0,18.77,0,4.11,0.0,375.0,5.0,20,120642.34
01_electricheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0
01_pelletheating_transformer,transformer,315.55,0,284.0,0,5.2,0.0,197.78,5.2,20,148000.89
01_GCHP_transformer,transformer,263.97,875.65,1139.61,0,4.44,0.0,513.23,4.44,20,0.0
01_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0,0,20,0.0
01_pv_to_01_electricity_link,link,105.66,0,105.66,0,2.07,0.0,0.0,20.0,20,0.0
01_electricity_to_01_hp_electricity_bus,link,40.57,0,40.57,0,1.03,0.0,0.0,20.0,20,0.0
01_photovoltaic_electricity_source,source,0,0,197.55,0,3.91,0.0,407.16,4.52,20,224331.82
01_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,0,0,20,0.0
