ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,2393.97,0,2.25,718.19,0,0,0,876191.54
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,15700.29,0,9.73,1483.68,0,0,0,0.0
01_oil_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pv_bus_excess,sink,1992.43,0,0.0,0,3.58,-135.49,0,0,0,-53795.73
01_hp_electricity_bus_shortage,source,0,0,2141.96,0,0.44,471.23,0,0,0,783955.87
01_pv_to_01_electricity_link,link,3460.73,0,3460.73,0,3.07,0.0,0.0,50.0,50,0.0
01_thermal_storage,storage,1263.15,0,1237.88,0,11.2,0.0,49.8,12.45,30,7519.27
01_electricity_to_01_hp_electricity_bus,link,755.96,0,755.96,0,0.44,0.0,0.0,50.0,50,0.0
01_heat_without_storage_to_01_heat,link,27606.17,0,27606.17,0,12.41,0.0,0.0,50.0,50,0.0
01_electricity_sink,sink,3988.92,0,0.0,0,0.84,0.0,0,0,0,0.0
01_heat_sink,sink,29997.98,0,0.0,0,14.52,0.0,0,0,0,0.0
01_heat_storage_to_01_heat,link,2391.82,0,2391.82,0,2.88,0.0,0.0,50.0,50,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_oilheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_electricheating_transformer,transformer,964.79,0,964.79,0,1.74,0.0,39.96,1.74,50,4823.93
01_pelletheating_transformer,transformer,15700.29,0,14130.26,0,8.76,0.0,332.71,8.76,50,363147.65
01_GCHP_transformer,transformer,2897.92,9613.21,12511.12,0,1.91,0.0,539.96,1.91,50,100089.0
01_ASHP_transformer,transformer,-0.0,-0.0,-0.0,0,0.0,0.0,0,0,50,0.0
01_photovoltaic_electricity_source,source,0,0,5453.17,0,4.34,0.0,475.0,5.0,5,147235.51
01_solar_thermal_source,source,145.02,2544.29,2417.08,0,1.27,0.0,139.54,1.86,20,29004.94
