date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_electricity_sink_input1,01_heat_sink_input1,01_thermal_storage_capacity,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_ASHP_transformer_input1,01_ASHP_transformer_input2,01_ASHP_transformer_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_photovoltaic_electricity_source_output1
2012-01-01 00:00:00,0.23297752,0.0,0.0,0.3598282,0.23297752286319187,1.5534785740157577,0.0,0.0,0.0,0.0,0.0,0.3598282,1.1936504,1.5534786,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.5534786,1.5534786,0.0
2012-01-01 01:00:00,0.17240576,0.0,0.0,0.38197147,0.1724057642179168,1.6490772554936506,0.0,0.0,0.0,0.0,0.0,0.38197147,1.2671058,1.6490773,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.6490773,1.6490773,0.0
2012-01-01 02:00:00,0.15802197,0.0,0.0,0.39857892,0.15802196928895967,1.72077626660207,0.0,0.0,0.0,0.0,0.0,0.39857892,1.3221973,1.7207763,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.7207763,1.7207763,0.0
2012-01-01 03:00:00,0.15386665,0.0,0.0,0.46039318,0.1538666507539276,1.9757060838764509,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.0073882579,0.012569361,0.019957619,0.0,0.0,-0.0,0.0,1.9757061,1.9757061,0.0
2012-01-01 04:00:00,0.15634386,0.0,0.0,0.69562125,0.15634385988058136,2.6130306270624026,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.24261633,0.41466583,0.65728216,0.0,0.0,-0.0,0.0,2.6130306,2.6130306,0.0
2012-01-01 05:00:00,0.18714915,1.1063871,0.0,0.79030874,0.18714915402009788,3.8637800430648337,0.0,0.0,0.0,1.1063871,0.99574836,0.45300492,1.5027435,1.9557485,0.33730381,0.5749794,0.91228322,0.0,0.0,-0.0,0.0,3.86378,3.86378,0.0
2012-01-01 06:00:00,0.35995447,2.3013706,0.0,0.78960703,0.3599544680971524,4.939265209691127,0.0,0.0,0.0,2.3013706,2.0712335,0.45300492,1.5027435,1.9557485,0.33660211,0.57568111,0.91228322,0.0,0.0,-0.0,0.0,4.9392652,4.9392652,0.0
2012-01-01 07:00:00,0.51713738,1.9295979,0.0,0.78777833,0.5171373826819229,4.604669824518503,0.0,0.0,0.0,1.9295979,1.7366381,0.45300492,1.5027435,1.9557485,0.3347734,0.57750981,0.91228322,0.0,0.0,-0.0,0.0,4.6046698,4.6046698,0.0
2012-01-01 08:00:00,0.53339906,1.4781597,0.0,0.78749508,0.5333990619488272,4.198375428237458,0.0,0.0,0.0,1.4781597,1.3303437,0.45300492,1.5027435,1.9557485,0.33449015,0.57779306,0.91228322,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0
2012-01-01 09:00:00,0.49232534,1.1152388,0.0,0.78665303,0.4923253364294718,3.8717465998546574,0.0,0.0,0.0,1.1152388,1.0037149,0.45300492,1.5027435,1.9557485,0.33364811,0.57863511,0.91228322,0.0,0.0,-0.0,0.0,3.8717466,3.8717466,0.0
2012-01-01 10:00:00,0.46327261,0.80542826,0.0,0.7841269,0.4643168913039192,3.592917112210804,0.0,0.0,0.0,0.80542826,0.72488543,0.45300492,1.5027435,1.9557485,0.33112198,0.58116124,0.91228322,0.001044277,0.001044277,-0.0,0.0,3.5929171,3.5929171,0.001044277
2012-01-01 11:00:00,0.47274739,0.61954193,0.0,0.78524962,0.47274739333172466,3.425619419624491,0.0,0.0,0.0,0.61954193,0.55758774,0.45300492,1.5027435,1.9557485,0.3322447,0.58003851,0.91228322,0.0,0.0,-0.0,0.0,3.4256194,3.4256194,0.0
2012-01-01 12:00:00,0.52225162,0.56643155,0.0,0.78454792,0.5222516208788854,3.377820078885545,0.0,0.0,0.0,0.56643155,0.5097884,0.45300492,1.5027435,1.9557485,0.331543,0.58074022,0.91228322,0.0,0.0,-0.0,0.0,3.3778201,3.3778201,0.0
2012-01-01 13:00:00,0.51741707,0.54872809,0.0,0.78356554,0.5174170675833193,3.3618869653058963,0.0,0.0,0.0,0.54872809,0.49385528,0.45300492,1.5027435,1.9557485,0.33056061,0.5817226,0.91228322,0.0,0.0,-0.0,0.0,3.361887,3.361887,0.0
2012-01-01 14:00:00,0.46088076,0.65494885,0.0,0.78370588,0.460880762515335,3.457485646783789,0.0,0.0,0.0,0.65494885,0.58945397,0.45300492,1.5027435,1.9557485,0.33070095,0.58158226,0.91228322,0.0,0.0,-0.0,0.0,3.4574856,3.4574856,0.0
2012-01-01 15:00:00,0.41880816,0.82313172,0.0,0.78553031,0.4188081623481354,3.6088502257904524,0.0,0.0,0.0,0.82313172,0.74081855,0.45300492,1.5027435,1.9557485,0.33252538,0.57975783,0.91228322,0.0,0.0,-0.0,0.0,3.6088502,3.6088502,0.0
2012-01-01 16:00:00,0.42036641,1.0532767,0.0,0.78763542,0.4203664067987724,3.815980702325887,0.0,0.0,0.0,1.0532767,0.94794902,0.45300492,1.5027435,1.9557485,0.33463049,0.57765272,0.91228322,0.0,0.0,-0.0,0.0,3.8159807,3.8159807,0.0
2012-01-01 17:00:00,0.5141008,1.3276803,0.0,0.78721439,0.5141008037524765,4.062943962810443,0.0,0.0,0.0,1.3276803,1.1949123,0.45300492,1.5027435,1.9557485,0.33420947,0.57807374,0.91228322,0.0,0.0,-0.0,0.0,4.062944,4.062944,0.0
2012-01-01 18:00:00,0.66401191,1.4427528,0.0,0.78426638,0.6640119109009408,4.166509201078161,0.0,0.0,0.0,1.4427528,1.2984775,0.45300492,1.5027435,1.9557485,0.33126146,0.58102175,0.91228322,0.0,0.0,-0.0,0.0,4.1665092,4.1665092,0.0
2012-01-01 19:00:00,0.74747788,1.4781597,0.0,0.78229562,0.747477876474806,4.198375428237458,0.0,0.0,0.0,1.4781597,1.3303437,0.45300492,1.5027435,1.9557485,0.3292907,0.58299251,0.91228322,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0
2012-01-01 20:00:00,0.67220268,1.2657182,0.0,0.7811729,0.6722026830132636,4.007178065281672,0.0,0.0,0.0,1.2657182,1.1391464,0.45300492,1.5027435,1.9557485,0.32816798,0.58411524,0.91228322,0.0,0.0,-0.0,0.0,4.0071781,4.0071781,0.0
2012-01-01 21:00:00,0.56324544,0.69035577,0.0,0.78005017,0.5632454364264132,3.489351873943087,0.0,0.0,0.0,0.69035577,0.62132019,0.45300492,1.5027435,1.9557485,0.32704525,0.58523797,0.91228322,0.0,0.0,-0.0,0.0,3.4893519,3.4893519,0.0
2012-01-01 22:00:00,0.46615482,0.0,0.0,0.60535339,0.4661548206559526,2.382000480157495,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.15234847,0.27390354,0.42625202,0.0,0.0,-0.0,0.0,2.3820005,2.3820005,0.0
2012-01-01 23:00:00,0.34517112,0.0,0.0,0.40226947,0.3451711233090575,1.7367093801817188,0.0,0.0,0.0,0.0,0.0,0.40226947,1.3344399,1.7367094,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.7367094,1.7367094,0.0
2012-01-02 00:00:00,0.23297752,0.0,0.0,0.46144244,0.23297752286319187,1.9768839373250944,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.0084375159,0.012697957,0.021135473,0.0,0.0,-0.0,0.0,1.9768839,1.9768839,0.0
2012-01-02 01:00:00,0.17240576,0.0,0.0,0.51019079,0.1724057642179168,2.098538333468177,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.057185864,0.085604005,0.14278987,0.0,0.0,-0.0,0.0,2.0985383,2.0985383,0.0
2012-01-02 02:00:00,0.15802197,0.0,0.0,0.54684374,0.15802196928895967,2.1897791305754897,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.093838816,0.14019185,0.23403067,0.0,0.0,-0.0,0.0,2.1897791,2.1897791,0.0
2012-01-02 03:00:00,0.15386665,0.0,0.0,0.67692247,0.1538666507539276,2.5141908536237096,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.22391755,0.33452484,0.55844239,0.0,0.0,-0.0,0.0,2.5141909,2.5141909,0.0
2012-01-02 04:00:00,0.15634386,0.5079872,0.0,0.81953298,0.15634385988058136,3.3252201612442613,0.0,0.0,0.0,0.5079872,0.45718848,0.45300492,1.5027435,1.9557485,0.36652806,0.54575516,0.91228322,0.0,0.0,-0.0,0.0,3.3252202,3.3252202,0.0
