ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,41.25,0,0.75,1102047.1,0,0,0,903.32
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,218.08,0,6.98,0.0,0,0,0,1504.41
01_oil_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pv_bus_excess,sink,41.09,0,0.0,0,3.06,-80992.59,0,0,0,-203.98
01_hp_electricity_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_thermal_storage,storage,41.05,0,40.23,0,15.59,0.0,10463.57,17.32,30,69.3
01_pv_to_01_electricity_link,link,26.99,0,26.99,0,1.74,0.0,0.0,50.0,50,0.0
01_electricity_to_01_hp_electricity_bus,link,11.34,0,11.34,0,1.14,0.0,0.0,50.0,50,0.0
01_electricity_sink,sink,53.28,0,0.0,0,0.75,0.0,0,0,0,0.0
01_heat_sink,sink,304.77,0,0.0,0,6.29,0.0,0,0,0,0.0
01_heat_without_storage_to_01_heat,link,245.21,0,245.21,0,6.29,0.0,0.0,50.0,50,0.0
01_heat_storage_to_01_heat,link,59.56,0,59.56,0,3.46,0.0,0.0,50.0,50,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0.0,50.0,50,5500.0
01_oilheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0.0,50.0,50,3600.0
01_electricheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0.0,50.0,50,1150.0
01_pelletheating_transformer,transformer,218.08,0,196.27,0,6.29,368221.85,0.0,50.0,50,1900.0
01_GCHP_transformer,transformer,11.34,37.6,48.94,0,4.93,28579.21,0.0,50.0,50,14100.0
01_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,50.0,50,6850.0
01_photovoltaic_electricity_source,source,0,0,68.09,0,4.0,134198.63,0.0,5.0,5,475.0
01_solar_thermal_source,source,3.62,63.56,60.38,0,2.49,52892.91,0.0,4.14,20,310.34
