ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,118.05,0,0.93,1077.22,0,0,0,1702000.17
ID_gas_bus_shortage,source,0,0,77.1,0,4.44,164.15,0,0,0,0.0
ID_pv_bus_excess,sink,46.35,0,0.0,0,2.44,-95.87,0,0,0,-78954.97
ID_hp_electricity_bus_shortage,source,0,0,195.9,0,1.43,1310.88,0,0,0,2824361.3
district_chp_electricity_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
district_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,78.67,0,78.67,0,2.35,0.0,0.0,20.0,20,0.0
ID_electricity_to_ID_hp_electricity_bus,link,33.75,0,33.75,0,1.31,0.0,0.0,20.0,20,0.0
ID_battery_storage,storage,0.0,0,0.0,0,0.0,0.0,0.0,0.0,100,0.0
ID_thermal_storage,storage,1.24,0,1.21,0,1.82,36.87,5.79,5.79,100,579.35
ID_electricity_sink,sink,162.97,0,0.0,0,1.04,0.0,0,0,0,0.0
ID_heat_sink,sink,836.81,0,0.0,0,10.42,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,0.0,0,0.0,0.0,0.0,0.0,8.35,0.0
ID_cooling_sink,sink,870.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_gasheating_transformer,transformer,77.1,0,65.53,0,3.78,0.0,264.34,3.78,20,398659.24
ID_GCHP_transformer,transformer,178.65,592.65,771.3,0,5.66,0.0,653.66,5.66,20,0.0
ID_ASCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_AbsCH_transformer,transformer,51.0,1019.95,870.0,0,5.0,0.0,500.0,5.0,20,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_chp_transformer,transformer,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0
ID_photovoltaic_electricity_source,source,0,0,125.03,0,3.69,0.0,383.37,4.26,20,212964.35
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID1_Diameter65L_f0-c0_exergy,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0
district_heat_bus_Diameter65L_p0-f4_exergy,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0
ID_street1_Diameter65L_f1-f4_exergy,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0
ID_street1_Diameter65L_f4-f0_exergy,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0
ID_street1_Diameter65L_f0-f2_exergy,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0
dh_heat_house_station_ID,transformer,0.0,0,0.0,0,0.0,0.0,0.0,0.0,10989,0.0
district_heat_bus_dh_source_link_exergy,transformer,0.0,0,0.0,0,0.0,0.0,0,0,,0.0
