ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
central_pv_sys_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_pv_sys_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_heatpump_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_ng_bus_shortage,source,0.0,0,2282.79,0,116.61,37494.76,0,0,0,0.0
central_Tischlerei_ng_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Tischlerei_wc_bus_shortage,source,0.0,0,2637.4,0,109.89,27916.88,0,0,0,0.0
central_Tischlerei_wc_elec_bus_excess,sink,923.09,0,0,0,38.46,-43126.77,0,0,0,-32008152.24
central_Tischlerei_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Tischlerei_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_h2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_ng_bus_shortage,source,0.0,0,1222.44,0,70.72,20078.58,0,0,0,0.0
central_Schloss_ng_elec_bus_excess,sink,7.18,0,0,0,7.18,-178.68,0,0,0,-909101.59
central_Schloss_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Schloss_wc_bus_shortage,source,0.0,0,938.5,0,39.1,9934.01,0,0,0,0.0
central_Schloss_wc_elec_bus_excess,sink,328.47,0,0,0,13.69,-15346.33,0,0,0,-11389857.94
central_Schloss_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Schloss_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_ng_bus_shortage,source,0.0,0,436.22,0,29.96,7164.92,0,0,0,0.0
central_Kommende_ng_elec_bus_excess,sink,0.29,0,0,0,0.29,-7.19,0,0,0,-36580.38
central_Kommende_pe_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe_elec_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
central_Kommende_wc_bus_shortage,source,0.0,0,436.77,0,18.2,4623.17,0,0,0,0.0
central_Kommende_wc_elec_bus_excess,sink,152.87,0,0,0,6.37,-7142.0,0,0,0,-5300706.46
central_Kommende_ng2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_pe2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
central_Kommende_wc2_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
screw_turbine__electricity_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
hotel1_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
01Schloss_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_electricity_bus_shortage,source,0.0,0,26.85,0,4.38,2555.05,0,0,0,3587066.65
02Nebengebaeude_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
02Nebengebaeude_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
02Nebengebaeude_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
03Kommende1B_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
03Kommende1B_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
04Kommende2_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
05Kommende3_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
05Kommende3_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
06Kommende4_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
06Kommende4_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
07Kommende5_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
07Kommende5_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
08Kommende6_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
08Kommende6_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
09Kommende7_pv_bus_excess,sink,0.0,0,0,0,0.0,0,0,0,0,0
09Kommende7_gas_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_electricity_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
10Kommende8_hp_elec_bus_shortage,source,0.0,0,0.0,0,0.0,0,0,0,0,0
