id,id,lat,lon,component_type,street,t,bus
0,0,52.14553657206579,7.3410158834758406,Fork,SchlossFF,0.201277654639200,
1,1,52.14637007628024,7.341278246464704,Fork,TischSchloss,0.764655956516237,
2,2,52.14336124841272,7.341182987002562,Fork,KircheKommende,0.0933771121151901,
3,3,52.14325577206658,7.341209402271723,Fork,KircheKommende,0.184777782255772,
4,4,52.14321341521433,7.341220009996288,Fork,KircheKommende,0.221482168082048,
5,5,52.143139954804674,7.341238407156895,Fork,KircheKommende,0.285139380058557,
6,6,52.142983842928224,7.341277503056653,Fork,KircheKommende,0.420418316667073,
7,7,52.14292776164526,7.341291547715332,Fork,KircheKommende,0.469015617498071,
8,8,52.142876244860844,7.341304449238063,Fork,KircheKommende,0.513657545352876,
9,9,52.14279733562745,7.341324210688041,Fork,KircheKommende,0.582036428085727,
10,10,52.14276086923811,7.341333343040177,Fork,KircheKommende,0.613636416625824,
11,11,52.142932590525724,7.341290338400959,Fork,KircheKommende,0.464831145605007,
12,12,52.143028308857666,7.341266367252597,Fork,KircheKommende,0.381886312690011,
13,13,52.14680265224619,7.341771133907004,Fork,TischSchloss,0.450512726912772,
14,14,52.14682041505446,7.341791373534843,Fork,TischSchloss,0.437613072556697,
15,15,52.14682041505446,7.341791373534843,Fork,TischSchloss,0.437613072556697,
16,16,52.147423,7.342478,Fork,,,
17,17,52.146046,7.340909,Fork,,,
18,18,52.143515,7.34144,Fork,,,
19,19,52.143469,7.341156,Fork,,,
20,20,52.142315,7.341445,Fork,,,
22,22,52.14343149304697,7.341165395019754,Fork,KircheKommende,0.0325065261278968,central_heat_input_1_bus
23,23,52.14738405653945,7.3424336189025325,Fork,TischSchloss,0.0282856404536072,central_heat_input_2_bus
24,24,52.14553657206579,7.3410158834758406,Fork,SchlossFF,0.201277654639200,central_heat_input_3_bus
25,25,52.142624681655036,7.341367448644863,Fork,KircheKommende,0.731649905563283,central_heat_input_4_bus
