ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,91.66,0,1.05,1433.8,0,0,0,2265396.3
ID_heat_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_gas_bus_shortage,source,0,0,14.91,0,1.56,54.42,0,0,0,0.0
ID_cooling_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_cooling_bus_shortage,source,0,0,620.0,0,20.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_hp_electricity_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_hp_electricity_bus_shortage,source,0,0,173.29,0,1.42,1987.93,0,0,0,4283075.93
district_chp_electricity_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
district_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_electricity_sink,sink,91.66,0,0.0,0,1.05,0.0,0,0,0,0.0
ID_heat_sink,sink,760.82,0,0.0,0,7.68,0.0,0,0,0,0.0
insulation-ID_heat_sink_window,insulation,0,0,0.0,0,0.0,0.0,0.0,0.0,5.419748461526976,0.0
ID_cooling_sink,sink,620.0,0,0.0,0,20.0,0.0,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,20.0,20,0.0
ID_electricity_to_ID_hp_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,20.0,20,0.0
district_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,20.0,20,0.0
district_chp_to_district_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,20.0,20,0.0
ID_pv_to_district_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,20.0,20,0.0
ID_battery_storage,storage,0.0,0,0.0,0,0.0,0.0,0.0,0.0,100,0.0
ID_thermal_storage,storage,0.23,0,0.22,0,0.36,11.53,1.3,1.3,100,130.04
ID_gasheating_transformer,transformer,14.91,0,12.67,0,1.32,0.0,92.63,1.32,20,132155.17
ID_GCHP_transformer,transformer,173.29,574.86,748.16,0,6.14,0.0,709.07,6.14,20,0.0
ID_ASCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_AbsCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_chp_transformer,transformer,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0
ID_photovoltaic_electricity_source,source,0,0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID1_Diameter65L_f0-c0,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
district_heat_bus_Diameter65L_p0-f4,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f1-f4,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f4-f1,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f4-f0,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f0-f4,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f0-f2,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
ID_street1_Diameter65L_f2-f0,dh,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9999,0.0
dh_heat_house_station_ID,transformer,0.0,0,0.0,0,0.0,0.0,0.0,0.0,10989,0.0
district_heat_bus_dh_source_link,transformer,0.0,0,0.0,0,0.0,0.0,0,0,,0.0
